0,0,3327045,Hangin' with the Homeboys
1,0,27809124,Cape Fear
1,0,24460826,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
1,1,6320216,Star Trek VI: The Undiscovered Country
1,0,57239955,The Prince of Tides
1,0,16126156,JFK
0,1,3886002,Hot Shots!
1,1,155155622,Aladdin
1,1,102011125,Home Alone 2: Lost in New York
0,0,34482792,The Crying Game
0,1,43643126,Far and Away
0,1,36944657,Honey I Blew Up the Kid
0,1,17479109,Death Becomes Her
0,1,43219937,Alien
0,0,14883106,My Cousin Vinny
0,0,20210676,The Mighty Ducks
0,0,1164437,Malcolm X
0,1,5978809,Medicine Man
0,0,623626,Passenger 57
0,0,1247827,Mo' Money
0,0,3335155,Universal Soldier
0,0,15652315,Honeymoon in Vegas
1,1,111981436,Batman Returns
1,0,75651964,A Few Good Men
1,0,118392404,Sister Act
0,0,20847744,The Lawnmower Man
0,0,51563138,Sleepwalkers
0,0,18438769,3 Ninjas
0,0,43584285,The Muppet Christmas Carol
0,0,28990352,Candyman
0,0,50593661,Hoffa
0,0,8775497,The Player
0,0,3911507,Consenting Adults
0,0,26654910,Raising Cain
0,0,21130793,Juice
0,0,44427931,Hero
0,0,62098299,Freejack
0,0,14091325,Pet Sematary II
1,0,75691224,The Bodyguard
1,0,105771577,Wayne's World
0,0,14798379,Buffy the Vampire Slayer
0,0,43860240,Supercop
0,0,9927669,City of Joy
0,0,73119172,Memoirs of an Invisible Man
0,0,26164262,Rapid Fire
0,0,52540749,Class Act
0,0,19021487,American Me
0,0,22836998,Army of Darkness
0,0,63736298,Jennifer Eight
0,0,13116302,Glengarry Glen Ross
0,0,30108674,Chaplin
0,0,31488683,Christopher Columbus: The Discovery
1,1,38143340,A League of Their Own
0,0,48871273,Lorenzo's Oil
0,0,10145742,1492: Conquest of Paradise
0,0,2516403,Children of the Corn II: The Final Sacrifice
0,0,6049024,Fortress
0,0,19414248,Split Second
0,0,29805282,Passion Fish
0,0,17899053,Orlando
0,0,59012983,Radio Flyer
0,0,21866035,Twin Peaks: Fire Walk with Me
0,0,49125312,Man Trouble
1,0,70899480,Unforgiven
0,0,75251210,Newsies
0,0,1258847,Reservoir Dogs
0,0,64158159,Noises Off...
